Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
FuselageGeom	0.466150	0.394472	0.012328	0.011010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.317625	0.029475	6.801635
Nacelle	0.064680	0.055163	0.001168	0.001051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.152400	0.022806	0.894342
Wing	0.838110	0.793176	0.015961	0.015941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Wing	0.838110	0.793176	0.015961	0.015941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
H-Tail	0.396547	0.387703	0.001679	0.001679	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
V-Tail	0.160263	0.133136	0.000660	0.000579	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Motor	0.016695	0.000340	0.000164	0.000004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054000	0.006235	0.606069
