Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
FuselageGeom	0.221848	0.190763	0.004034	0.003647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.889000	0.015180	6.394582
Wing	0.646545	0.624403	0.007613	0.007613	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
H-Tail	0.173624	0.169565	0.000532	0.000532	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
V-Tail	0.064868	0.054005	0.000122	0.000107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Motor	0.008264	0.008264	0.000056	0.000056	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050800	0.002280	0.942774
