Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
FuselageGeom	0.303787	0.261927	0.006251	0.005675	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.092200	0.018365	7.142447
Propeller	0.096785	0.095364	0.002258	0.002258	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Motor	0.014752	0.014752	0.000134	0.000134	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.070000	0.003927	0.989913
Wing	1.074346	1.044652	0.017269	0.017269	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
H-Tail	0.250018	0.242849	0.000919	0.000919	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
V-Tail	0.093411	0.077504	0.000211	0.000185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
