Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
WingGeom,1.917758,1.917758,0.019132,0.019132
Totals,1.917758,1.917758,0.019132,0.019132

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
WingGeom_Surf0,0.947652,0.947652
WingGeom_Surf1,0.947652,0.947652
WingGeom_Surf0,Aileron,0.011227,0.011227
WingGeom_Surf1,Aileron,0.011227,0.011227
