xflr5 v6.32

Plane name :        UltraStick25e
Polar name :        T1-30.0 m/s-VLM2-NoBodyPanels
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.500     0.000  -0.467248   0.017438   0.011212   0.028650  -0.000000   0.000000   0.179354   0.000000   0.000000   30.0000     0.3216
   -7.000     0.000  -0.436803   0.015218   0.010782   0.026000  -0.000000   0.000000   0.168192   0.000000   0.000000   30.0000     0.3212
   -6.500     0.000  -0.406213   0.013144   0.010421   0.023565  -0.000000   0.000000   0.156927   0.000000   0.000000   30.0000     0.3209
   -6.000     0.000  -0.375488   0.011217   0.010078   0.021295  -0.000000   0.000000   0.145543   0.000000   0.000000   30.0000     0.3205
   -5.500     0.000  -0.344638   0.009439   0.009849   0.019288  -0.000000   0.000000   0.134069   0.000000   0.000000   30.0000     0.3202
   -5.000     0.000  -0.313673   0.007811   0.009645   0.017456  -0.000000   0.000000   0.122481   0.000000   0.000000   30.0000     0.3199
   -4.500     0.000  -0.282603   0.006334   0.009440   0.015775  -0.000000   0.000000   0.110780   0.000000   0.000000   30.0000     0.3196
   -4.000     0.000  -0.251440   0.005010   0.009240   0.014251  -0.000000   0.000000   0.098971   0.000000   0.000000   30.0000     0.3194
   -3.500     0.000  -0.220193   0.003840   0.009067   0.012907  -0.000000   0.000000   0.087060   0.000000   0.000000   30.0000     0.3192
   -3.000     0.000  -0.188872   0.002823   0.008922   0.011745  -0.000000   0.000000   0.075050   0.000000   0.000000   30.0000     0.3190
   -2.500     0.000  -0.157489   0.001962   0.008793   0.010755  -0.000000   0.000000   0.062944   0.000000   0.000000   30.0000     0.3189
   -2.000     0.000  -0.126053   0.001256   0.008683   0.009940  -0.000000   0.000000   0.050746   0.000000   0.000000   30.0000     0.3188
   -1.500     0.000  -0.094576   0.000707   0.008590   0.009297  -0.000000   0.000000   0.038460   0.000000   0.000000   30.0000     0.3187
   -1.000     0.000  -0.063067   0.000314   0.008513   0.008827  -0.000000   0.000000   0.026093   0.000000   0.000000   30.0000     0.3186
   -0.500     0.000  -0.031539   0.000079   0.008466   0.008545  -0.000000   0.000000   0.013648   0.000000   0.000000   30.0000     0.3186
    0.000     0.000  -0.000000   0.000000   0.008439   0.008439  -0.000000  -0.000000   0.001124   0.000000   0.000000   30.0000     0.4759
    0.500     0.000   0.031538   0.000079   0.008464   0.008542  -0.000000  -0.000000  -0.011473   0.000000   0.000000   30.0000     0.3186
    1.000     0.000   0.063064   0.000314   0.008508   0.008822  -0.000000  -0.000000  -0.024142   0.000000   0.000000   30.0000     0.3186
    1.500     0.000   0.094569   0.000707   0.008585   0.009292  -0.000000  -0.000000  -0.036875   0.000000   0.000000   30.0000     0.3187
    2.000     0.000   0.126040   0.001256   0.008679   0.009935   0.000000  -0.000000  -0.049667   0.000000   0.000000   30.0000     0.3188
    2.500     0.000   0.157469   0.001961   0.008790   0.010751   0.000000  -0.000000  -0.062516  -0.000000  -0.000000   30.0000     0.3189
    3.000     0.000   0.188844   0.002822   0.008920   0.011742   0.000000  -0.000000  -0.075417  -0.000000  -0.000000   30.0000     0.3191
    3.500     0.000   0.220154   0.003838   0.009065   0.012904   0.000000  -0.000000  -0.088370  -0.000000  -0.000000   30.0000     0.3193
    4.000     0.000   0.251389   0.005009   0.009239   0.014247   0.000000  -0.000000  -0.101369  -0.000000  -0.000000   30.0000     0.3195
    4.500     0.000   0.282540   0.006332   0.009439   0.015771   0.000000  -0.000000  -0.114412  -0.000000  -0.000000   30.0000     0.3197
    5.000     0.000   0.313594   0.007808   0.009668   0.017476   0.000000  -0.000000  -0.127497  -0.000000  -0.000000   30.0000     0.3200
    5.500     0.000   0.344543   0.009434   0.009900   0.019334   0.000000  -0.000000  -0.140624  -0.000000  -0.000000   30.0000     0.3203
    6.000     0.000   0.375375   0.011211   0.010134   0.021345   0.000000  -0.000000  -0.153794  -0.000000  -0.000000   30.0000     0.3206
    6.500     0.000   0.406081   0.013136   0.010479   0.023615   0.000000  -0.000000  -0.166985  -0.000000  -0.000000   30.0000     0.3210
    7.000     0.000   0.436650   0.015208   0.010842   0.026050   0.000000  -0.000000  -0.180215  -0.000000  -0.000000   30.0000     0.3213
    7.500     0.000   0.467073   0.017426   0.011542   0.028968   0.000000  -0.000000  -0.193441  -0.000000  -0.000000   30.0000     0.3218


