xflr5 v6.32

Plane name :        UltraStick25e
Polar name :        T1-50.0 m/s-VLM2-NoBodyPanels
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.500     0.000  -0.467248   0.017438   0.009026   0.026464  -0.000000   0.000000   0.178874   0.000000   0.000000   50.0000     0.3216
   -7.000     0.000  -0.436803   0.015218   0.008863   0.024081  -0.000000   0.000000   0.167788   0.000000   0.000000   50.0000     0.3212
   -6.500     0.000  -0.406213   0.013144   0.008622   0.021766  -0.000000   0.000000   0.156562   0.000000   0.000000   50.0000     0.3209
   -6.000     0.000  -0.375488   0.011217   0.008374   0.019591  -0.000000   0.000000   0.145213   0.000000   0.000000   50.0000     0.3205
   -5.500     0.000  -0.344638   0.009439   0.008142   0.017581  -0.000000   0.000000   0.133749   0.000000   0.000000   50.0000     0.3202
   -5.000     0.000  -0.313673   0.007811   0.007980   0.015791  -0.000000   0.000000   0.122178   0.000000   0.000000   50.0000     0.3199
   -4.500     0.000  -0.282603   0.006334   0.007828   0.014162  -0.000000   0.000000   0.110496   0.000000   0.000000   50.0000     0.3196
   -4.000     0.000  -0.251440   0.005010   0.007675   0.012686  -0.000000   0.000000   0.098707   0.000000   0.000000   50.0000     0.3194
   -3.500     0.000  -0.220193   0.003840   0.007543   0.011382  -0.000000   0.000000   0.086815   0.000000   0.000000   50.0000     0.3192
   -3.000     0.000  -0.188872   0.002823   0.007442   0.010265  -0.000000   0.000000   0.074825   0.000000   0.000000   50.0000     0.3190
   -2.500     0.000  -0.157489   0.001962   0.007359   0.009321  -0.000000   0.000000   0.062740   0.000000   0.000000   50.0000     0.3189
   -2.000     0.000  -0.126053   0.001256   0.007296   0.008552  -0.000000   0.000000   0.050561   0.000000   0.000000   50.0000     0.3188
   -1.500     0.000  -0.094576   0.000707   0.007243   0.007950  -0.000000   0.000000   0.038293   0.000000   0.000000   50.0000     0.3187
   -1.000     0.000  -0.063067   0.000314   0.007203   0.007517  -0.000000   0.000000   0.025939   0.000000   0.000000   50.0000     0.3186
   -0.500     0.000  -0.031539   0.000079   0.007178   0.007257  -0.000000   0.000000   0.013504   0.000000   0.000000   50.0000     0.3186
    0.000     0.000  -0.000000   0.000000   0.007159   0.007159  -0.000000  -0.000000   0.000990   0.000000   0.000000   50.0000     0.4759
    0.500     0.000   0.031538   0.000079   0.007172   0.007251  -0.000000  -0.000000  -0.011596   0.000000   0.000000   50.0000     0.3186
    1.000     0.000   0.063064   0.000314   0.007191   0.007506  -0.000000  -0.000000  -0.024254   0.000000   0.000000   50.0000     0.3186
    1.500     0.000   0.094569   0.000707   0.007232   0.007939  -0.000000  -0.000000  -0.036978   0.000000   0.000000   50.0000     0.3187
    2.000     0.000   0.126040   0.001256   0.007285   0.008541   0.000000  -0.000000  -0.049766   0.000000   0.000000   50.0000     0.3188
    2.500     0.000   0.157469   0.001961   0.007349   0.009311   0.000000  -0.000000  -0.062613  -0.000000  -0.000000   50.0000     0.3189
    3.000     0.000   0.188844   0.002822   0.007434   0.010257   0.000000  -0.000000  -0.075515  -0.000000  -0.000000   50.0000     0.3191
    3.500     0.000   0.220154   0.003838   0.007536   0.011375   0.000000  -0.000000  -0.088470  -0.000000  -0.000000   50.0000     0.3193
    4.000     0.000   0.251389   0.005009   0.007671   0.012679   0.000000  -0.000000  -0.101473  -0.000000  -0.000000   50.0000     0.3195
    4.500     0.000   0.282540   0.006332   0.007834   0.014166   0.000000  -0.000000  -0.114522  -0.000000  -0.000000   50.0000     0.3197
    5.000     0.000   0.313594   0.007808   0.008025   0.015833   0.000000  -0.000000  -0.127615  -0.000000  -0.000000   50.0000     0.3200
    5.500     0.000   0.344543   0.009434   0.008246   0.017680   0.000000  -0.000000  -0.140751  -0.000000  -0.000000   50.0000     0.3203
    6.000     0.000   0.375375   0.011211   0.008504   0.019715   0.000000  -0.000000  -0.153931  -0.000000  -0.000000   50.0000     0.3206
    6.500     0.000   0.406081   0.013136   0.008794   0.021930   0.000000  -0.000000  -0.167139  -0.000000  -0.000000   50.0000     0.3210
    7.000     0.000   0.436650   0.015208   0.009094   0.024303   0.000000  -0.000000  -0.180376  -0.000000  -0.000000   50.0000     0.3213
    7.500     0.000   0.467073   0.017426   0.009539   0.026965   0.000000  -0.000000  -0.193622  -0.000000  -0.000000   50.0000     0.3218


