xflr5 v6.32

Plane name :        UltraStick25e
Polar name :        T1-20.0 m/s-VLM2-NoBodyPanels
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.313673   0.007811   0.011888   0.019699  -0.000000   0.000000   0.122896   0.000000   0.000000   20.0000     0.3199
   -4.500     0.000  -0.282603   0.006334   0.011703   0.018038  -0.000000   0.000000   0.111189   0.000000   0.000000   20.0000     0.3196
   -4.000     0.000  -0.251440   0.005010   0.011534   0.016544  -0.000000   0.000000   0.099376   0.000000   0.000000   20.0000     0.3194
   -3.500     0.000  -0.220193   0.003840   0.011363   0.015203  -0.000000   0.000000   0.087455   0.000000   0.000000   20.0000     0.3192
   -3.000     0.000  -0.188872   0.002823   0.011188   0.014011  -0.000000   0.000000   0.075431   0.000000   0.000000   20.0000     0.3190
   -2.500     0.000  -0.157489   0.001962   0.011008   0.012970  -0.000000   0.000000   0.063308   0.000000   0.000000   20.0000     0.3189
   -2.000     0.000  -0.126053   0.001256   0.010818   0.012074  -0.000000   0.000000   0.051089   0.000000   0.000000   20.0000     0.3188
   -1.500     0.000  -0.094576   0.000707   0.010646   0.011353  -0.000000   0.000000   0.038784   0.000000   0.000000   20.0000     0.3187
   -1.000     0.000  -0.063067   0.000314   0.010500   0.010814  -0.000000   0.000000   0.026397   0.000000   0.000000   20.0000     0.3186
   -0.500     0.000  -0.031539   0.000079   0.010411   0.010490  -0.000000   0.000000   0.013937   0.000000   0.000000   20.0000     0.3186
    0.000     0.000  -0.000000   0.000000   0.010355   0.010355  -0.000000  -0.000000   0.001400   0.000000   0.000000   20.0000     0.4759
    0.500     0.000   0.031538   0.000079   0.010411   0.010490  -0.000000  -0.000000  -0.011201   0.000000   0.000000   20.0000     0.3186
    1.000     0.000   0.063064   0.000314   0.010499   0.010814  -0.000000  -0.000000  -0.023872   0.000000   0.000000   20.0000     0.3186
    1.500     0.000   0.094569   0.000707   0.010646   0.011353  -0.000000  -0.000000  -0.036605   0.000000   0.000000   20.0000     0.3187
    2.000     0.000   0.126040   0.001256   0.010818   0.012074   0.000000  -0.000000  -0.049399   0.000000   0.000000   20.0000     0.3188
    2.500     0.000   0.157469   0.001961   0.011008   0.012969   0.000000  -0.000000  -0.062249   0.000000  -0.000000   20.0000     0.3189
    3.000     0.000   0.188844   0.002822   0.011187   0.014010   0.000000  -0.000000  -0.075156  -0.000000  -0.000000   20.0000     0.3191
    3.500     0.000   0.220154   0.003838   0.011362   0.015201   0.000000  -0.000000  -0.088116  -0.000000  -0.000000   20.0000     0.3193
    4.000     0.000   0.251389   0.005009   0.011533   0.016542   0.000000  -0.000000  -0.101127  -0.000000  -0.000000   20.0000     0.3195
    4.500     0.000   0.282540   0.006332   0.011702   0.018034   0.000000  -0.000000  -0.114184  -0.000000  -0.000000   20.0000     0.3197
    5.000     0.000   0.313594   0.007808   0.011887   0.019695   0.000000  -0.000000  -0.127284  -0.000000  -0.000000   20.0000     0.3200
    5.500     0.000   0.344543   0.009434   0.012071   0.021505   0.000000  -0.000000  -0.140425  -0.000000  -0.000000   20.0000     0.3203
    6.000     0.000   0.375375   0.011211   0.012437   0.023648   0.000000  -0.000000  -0.153587  -0.000000  -0.000000   20.0000     0.3206
    6.500     0.000   0.406081   0.013136   0.012679   0.025815   0.000000  -0.000000  -0.166792  -0.000000  -0.000000   20.0000     0.3210
    7.000     0.000   0.436650   0.015208   0.013000   0.028209   0.000000  -0.000000  -0.180023  -0.000000  -0.000000   20.0000     0.3213
    7.500     0.000   0.467073   0.017426   0.013428   0.030854   0.000000  -0.000000  -0.193277  -0.000000  -0.000000   20.0000     0.3218


