xflr5 v6.32

Plane name :        UltraStick25e
Polar name :        T1-35.0 m/s-VLM2-NoBodyPanels
Freestream speed :  35.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.500     0.000  -0.467248   0.017438   0.010599   0.028037  -0.000000   0.000000   0.179218   0.000000   0.000000   35.0000     0.3216
   -7.000     0.000  -0.436803   0.015218   0.010241   0.025459  -0.000000   0.000000   0.168077   0.000000   0.000000   35.0000     0.3212
   -6.500     0.000  -0.406213   0.013144   0.009865   0.023009  -0.000000   0.000000   0.156811   0.000000   0.000000   35.0000     0.3209
   -6.000     0.000  -0.375488   0.011217   0.009496   0.020713  -0.000000   0.000000   0.145427   0.000000   0.000000   35.0000     0.3205
   -5.500     0.000  -0.344638   0.009439   0.009273   0.018712  -0.000000   0.000000   0.133958   0.000000   0.000000   35.0000     0.3202
   -5.000     0.000  -0.313673   0.007811   0.009107   0.016918  -0.000000   0.000000   0.122381   0.000000   0.000000   35.0000     0.3199
   -4.500     0.000  -0.282603   0.006334   0.008970   0.015304  -0.000000   0.000000   0.110698   0.000000   0.000000   35.0000     0.3196
   -4.000     0.000  -0.251440   0.005010   0.008782   0.013792  -0.000000   0.000000   0.098894   0.000000   0.000000   35.0000     0.3194
   -3.500     0.000  -0.220193   0.003840   0.008614   0.012453  -0.000000   0.000000   0.086988   0.000000   0.000000   35.0000     0.3192
   -3.000     0.000  -0.188872   0.002823   0.008481   0.011305  -0.000000   0.000000   0.074985   0.000000   0.000000   35.0000     0.3190
   -2.500     0.000  -0.157489   0.001962   0.008365   0.010327  -0.000000   0.000000   0.062884   0.000000   0.000000   35.0000     0.3189
   -2.000     0.000  -0.126053   0.001256   0.008271   0.009527  -0.000000   0.000000   0.050692   0.000000   0.000000   35.0000     0.3188
   -1.500     0.000  -0.094576   0.000707   0.008195   0.008902  -0.000000   0.000000   0.038412   0.000000   0.000000   35.0000     0.3187
   -1.000     0.000  -0.063067   0.000314   0.008131   0.008445  -0.000000   0.000000   0.026048   0.000000   0.000000   35.0000     0.3186
   -0.500     0.000  -0.031539   0.000079   0.008091   0.008170  -0.000000   0.000000   0.013606   0.000000   0.000000   35.0000     0.3186
    0.000     0.000  -0.000000   0.000000   0.008066   0.008066  -0.000000  -0.000000   0.001085   0.000000   0.000000   35.0000     0.4759
    0.500     0.000   0.031538   0.000079   0.008086   0.008165  -0.000000  -0.000000  -0.011508   0.000000   0.000000   35.0000     0.3186
    1.000     0.000   0.063064   0.000314   0.008121   0.008436  -0.000000  -0.000000  -0.024173   0.000000   0.000000   35.0000     0.3186
    1.500     0.000   0.094569   0.000707   0.008186   0.008893  -0.000000  -0.000000  -0.036902   0.000000   0.000000   35.0000     0.3187
    2.000     0.000   0.126040   0.001256   0.008263   0.009519   0.000000  -0.000000  -0.049693   0.000000   0.000000   35.0000     0.3188
    2.500     0.000   0.157469   0.001961   0.008360   0.010321   0.000000  -0.000000  -0.062541   0.000000  -0.000000   35.0000     0.3189
    3.000     0.000   0.188844   0.002822   0.008478   0.011300   0.000000  -0.000000  -0.075441  -0.000000  -0.000000   35.0000     0.3191
    3.500     0.000   0.220154   0.003838   0.008611   0.012449   0.000000  -0.000000  -0.088393  -0.000000  -0.000000   35.0000     0.3193
    4.000     0.000   0.251389   0.005009   0.008780   0.013789   0.000000  -0.000000  -0.101393  -0.000000  -0.000000   35.0000     0.3195
    4.500     0.000   0.282540   0.006332   0.008968   0.015300   0.000000  -0.000000  -0.114437  -0.000000  -0.000000   35.0000     0.3197
    5.000     0.000   0.313594   0.007808   0.009178   0.016986   0.000000  -0.000000  -0.127523  -0.000000  -0.000000   35.0000     0.3200
    5.500     0.000   0.344543   0.009434   0.009392   0.018826   0.000000  -0.000000  -0.140654  -0.000000  -0.000000   35.0000     0.3203
    6.000     0.000   0.375375   0.011211   0.009595   0.020806   0.000000  -0.000000  -0.153834  -0.000000  -0.000000   35.0000     0.3206
    6.500     0.000   0.406081   0.013136   0.009956   0.023092   0.000000  -0.000000  -0.167028  -0.000000  -0.000000   35.0000     0.3210
    7.000     0.000   0.436650   0.015208   0.010331   0.025540   0.000000  -0.000000  -0.180258   0.000000  -0.000000   35.0000     0.3213
    7.500     0.000   0.467073   0.017426   0.011107   0.028533   0.000000  -0.000000  -0.193475  -0.000000  -0.000000   35.0000     0.3218


