xflr5 v6.32

Plane name :        UltraStick25e
Polar name :        T1-40.0 m/s-VLM2-NoBodyPanels
Freestream speed :  40.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -8.000     0.000  -0.497536   0.019801   0.011657   0.031459  -0.000000   0.000000   0.190403   0.000000   0.000000   40.0000     0.3221
   -7.750     0.000  -0.482412   0.018602   0.011257   0.029859  -0.000000   0.000000   0.184860   0.000000   0.000000   40.0000     0.3218
   -7.500     0.000  -0.467248   0.017438   0.010029   0.027467  -0.000000   0.000000   0.179094   0.000000   0.000000   40.0000     0.3216
   -7.250     0.000  -0.452043   0.016310   0.010538   0.026848  -0.000000   0.000000   0.173689   0.000000   0.000000   40.0000     0.3214
   -7.000     0.000  -0.436803   0.015218   0.009780   0.024998  -0.000000   0.000000   0.167982   0.000000   0.000000   40.0000     0.3212
   -6.750     0.000  -0.421524   0.014162   0.009935   0.024097  -0.000000   0.000000   0.162424   0.000000   0.000000   40.0000     0.3210
   -6.500     0.000  -0.406213   0.013144   0.009442   0.022586  -0.000000   0.000000   0.156730   0.000000   0.000000   40.0000     0.3209
   -6.250     0.000  -0.390866   0.012162   0.009420   0.021582  -0.000000   0.000000   0.151075   0.000000   0.000000   40.0000     0.3207
   -6.000     0.000  -0.375488   0.011217   0.009113   0.020330  -0.000000   0.000000   0.145360   0.000000   0.000000   40.0000     0.3205
   -5.750     0.000  -0.360077   0.010309   0.008914   0.019223  -0.000000   0.000000   0.139616   0.000000   0.000000   40.0000     0.3204
   -5.500     0.000  -0.344638   0.009439   0.008860   0.018299  -0.000000   0.000000   0.133887   0.000000   0.000000   40.0000     0.3202
   -5.250     0.000  -0.329168   0.008606   0.008474   0.017081  -0.000000   0.000000   0.128055   0.000000   0.000000   40.0000     0.3200
   -5.000     0.000  -0.313673   0.007811   0.008702   0.016514  -0.000000   0.000000   0.122313   0.000000   0.000000   40.0000     0.3199
   -4.750     0.000  -0.298150   0.007054   0.008205   0.015259  -0.000000   0.000000   0.116413   0.000000   0.000000   40.0000     0.3198
   -4.500     0.000  -0.282603   0.006334   0.008554   0.014889  -0.000000   0.000000   0.110627   0.000000   0.000000   40.0000     0.3196
   -4.250     0.000  -0.267032   0.005653   0.007998   0.013651  -0.000000   0.000000   0.104669   0.000000   0.000000   40.0000     0.3195
   -4.000     0.000  -0.251440   0.005010   0.008372   0.013382  -0.000000   0.000000   0.098828   0.000000   0.000000   40.0000     0.3194
   -3.750     0.000  -0.235825   0.004406   0.007795   0.012201  -0.000000   0.000000   0.092821   0.000000   0.000000   40.0000     0.3193
   -3.500     0.000  -0.220193   0.003840   0.008214   0.012054  -0.000000   0.000000   0.086928   0.000000   0.000000   40.0000     0.3192
   -3.250     0.000  -0.204540   0.003312   0.007636   0.010948  -0.000000   0.000000   0.080875   0.000000   0.000000   40.0000     0.3191
   -3.000     0.000  -0.188872   0.002823   0.008096   0.010919  -0.000000   0.000000   0.074930   0.000000   0.000000   40.0000     0.3190
   -2.750     0.000  -0.173187   0.002373   0.007526   0.009899  -0.000000   0.000000   0.068834   0.000000   0.000000   40.0000     0.3190
   -2.500     0.000  -0.157489   0.001962   0.007994   0.009955  -0.000000   0.000000   0.062836   0.000000   0.000000   40.0000     0.3189
   -2.250     0.000  -0.141776   0.001590   0.007440   0.009030  -0.000000   0.000000   0.056700   0.000000   0.000000   40.0000     0.3188
   -2.000     0.000  -0.126053   0.001256   0.007913   0.009169  -0.000000   0.000000   0.050649   0.000000   0.000000   40.0000     0.3188
   -1.750     0.000  -0.110319   0.000962   0.007364   0.008326  -0.000000   0.000000   0.044475   0.000000   0.000000   40.0000     0.3187
   -1.500     0.000  -0.094576   0.000707   0.007847   0.008554  -0.000000   0.000000   0.038373   0.000000   0.000000   40.0000     0.3187
   -1.250     0.000  -0.078825   0.000491   0.007312   0.007803  -0.000000   0.000000   0.032165   0.000000   0.000000   40.0000     0.3186
   -1.000     0.000  -0.063067   0.000314   0.007795   0.008109  -0.000000   0.000000   0.026013   0.000000   0.000000   40.0000     0.3186
   -0.750     0.000  -0.047305   0.000177   0.007273   0.007450  -0.000000   0.000000   0.019770   0.000000   0.000000   40.0000     0.3186
   -0.500     0.000  -0.031539   0.000079   0.007764   0.007843  -0.000000   0.000000   0.013573   0.000000   0.000000   40.0000     0.3186
   -0.250     0.000  -0.015770   0.000020   0.007254   0.007274  -0.000000  -0.000000   0.007296   0.000000   0.000000   40.0000     0.3186
    0.000     0.000  -0.000000   0.000000   0.007742   0.007742  -0.000000  -0.000000   0.001055   0.000000   0.000000   40.0000     0.4759
    0.250     0.000   0.015770   0.000020   0.007254   0.007274   0.000000  -0.000000  -0.005254  -0.000000  -0.000000   40.0000     0.3186
    0.500     0.000   0.031538   0.000079   0.007757   0.007835  -0.000000  -0.000000  -0.011535   0.000000   0.000000   40.0000     0.3186
    0.750     0.000   0.047303   0.000177   0.007273   0.007450   0.000000  -0.000000  -0.017876  -0.000000  -0.000000   40.0000     0.3186
    1.000     0.000   0.063064   0.000314   0.007781   0.008096  -0.000000  -0.000000  -0.024197   0.000000   0.000000   40.0000     0.3186
    1.250     0.000   0.078820   0.000491   0.007312   0.007803   0.000000  -0.000000  -0.030567  -0.000000  -0.000000   40.0000     0.3187
    1.500     0.000   0.094569   0.000707   0.007833   0.008540  -0.000000  -0.000000  -0.036923   0.000000   0.000000   40.0000     0.3187
    1.750     0.000   0.110309   0.000962   0.007364   0.008326   0.000000  -0.000000  -0.043323  -0.000000  -0.000000   40.0000     0.3187
    2.000     0.000   0.126040   0.001256   0.007902   0.009158   0.000000  -0.000000  -0.049711   0.000000   0.000000   40.0000     0.3188
    2.250     0.000   0.141760   0.001589   0.007440   0.009029   0.000000  -0.000000  -0.056139  -0.000000  -0.000000   40.0000     0.3189
    2.500     0.000   0.157469   0.001961   0.007986   0.009947   0.000000  -0.000000  -0.062557   0.000000  -0.000000   40.0000     0.3189
