Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
Wing	1.319597	1.266800	0.012406	0.012406	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Fuselage	0.450294	0.411449	0.013690	0.013079	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.079500	0.029706	5.550633
VTail	0.098718	0.094793	0.000476	0.000476	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
VTail	0.098718	0.094793	0.000476	0.000476	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Ventral	0.068665	0.041048	0.000451	0.000282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
