Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Wing,1.319597,1.266800,0.012406,0.012406
Fuselage,0.450294,0.411449,0.013690,0.013079
VTail,0.098718,0.094793,0.000476,0.000476
VTail,0.098718,0.094793,0.000476,0.000476
Ventral,0.068665,0.041048,0.000451,0.000282
Totals,2.035992,1.908884,0.027499,0.026726

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Wing_Surf0,0.597019,0.570621
Wing_Surf1,0.597019,0.570621
Fuselage_Surf0,0.450294,0.411449
VTail_Surf0,0.075774,0.071850
VTail_Surf1,0.075774,0.071850
Ventral_Surf0,0.068665,0.041048
Wing_Surf0,Aileron,0.062779,0.062779
Wing_Surf1,Aileron,0.062779,0.062779
VTail_Surf0,Rudervator,0.022944,0.022944
VTail_Surf1,Rudervator,0.022944,0.022944
