Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Wing,0.854692,0.854692,0.003369,0.003369
H-Tail,0.073063,0.071831,0.000204,0.000201
V-Tail,0.064965,0.063146,0.000366,0.000357
Totals,0.992720,0.989669,0.003940,0.003936

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Wing_Surf0,0.359213,0.359213
Wing_Surf1,0.359213,0.359213
H-Tail_Surf0,0.026873,0.026417
H-Tail_Surf1,0.026873,0.026417
V-Tail_Surf0,0.042823,0.041121
Wing_Surf0,Flap,0.038185,0.038185
Wing_Surf0,Aileron,0.029948,0.029948
Wing_Surf1,Flap,0.038185,0.038185
Wing_Surf1,Aileron,0.029948,0.029948
H-Tail_Surf0,Elevator,0.009658,0.009499
H-Tail_Surf1,Elevator,0.009658,0.009499
V-Tail_Surf0,Rudder,0.022142,0.022025
