Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
Fuselage	0.242815	0.231950	0.004720	0.004612	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.952500	0.020328	5.920624
Wing	0.625771	0.598102	0.004227	0.004132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
H-Tail	0.105044	0.102150	0.000365	0.000363	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
V-Tail	0.069585	0.061466	0.000337	0.000304	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
